index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
36279;47924;6148891;-23.46891;-46.603790000000004;AMA WAMBERTO DIAS DA COSTA;RUA PAULO CESAR;60;JARDIM TREMEMBE;(11)2203-9305;2311240.0;SP;São Paulo;2016;5
36298;47865;5713870;-23.52496;-46.65178;AMA BORACEA DR LUIZ BACALLA;RUA RIBEIRO DE ALMEIDA;14;BARRA FUNDA;11-33921854;1137020.0;SP;São Paulo;2016;5
36303;47917;6135978;-23.52608;-46.62038;AMA PRES JUSCELINO KUBITSCHEK;AV UTARO KANAI;286;COHAB JUSCELINO;(11)25554474;8465000.0;SP;São Paulo;2016;5
36414;48063;6703607;-23.676820000000003;-46.65266;ASSISTENCIA DOMICILIAR CIDADE ADEMAR;NESTOR SAMPAIO PENTEADO;S/N;AMERICANOPOLIS;11) 5622-1988;4409060.0;SP;São Paulo;2016;5
36562;48137;6926622;-23.60734;-46.59237;AMA SANTA MARCELINA;RUA CACHOEIRA DA ILHA;71;ITAQUERA;20706458;8270110.0;SP;São Paulo;2016;5
36662;48186;6974511;-23.70151;-46.74776;UBS VILA DIONISIA II;RUA SETE DE DEZEMBRO;73;VNC;22081943;2617060.0;SP;São Paulo;2016;5
36718;48660;7136617;-23.56919;-46.66135;UBS VILA CANAA;RUA CONTOS GAUCHESCOS;630;VILA CANAA;11-5565-0485;4369000.0;SP;São Paulo;2016;5
36722;48541;7097778;-23.62728;-46.69165;UBS JARDIM RINCAO;RUA ARROIO DO PALMA;67;TAIPAS;39415172;2991050.0;SP;São Paulo;2016;5
37051;48633;7128940;-23.685570000000002;-46.66153;UBS JARDIM MIRIAM II;AVENIDA CUPECE;5185;JARDIM PRUDENCIA;56236959 56236816;4365001.0;SP;São Paulo;2016;5
37253;49473;7407629;-23.54198;-46.63503;UBS JARDIM JULIETA;R BALTHAZAR FIDELIS;258;JARDIM GUANCA;;2151080.0;SP;São Paulo;2016;5
37319;49313;7357761;-23.53327;-46.66469;UBS JD NOVO PANTANAL PEDREIRA;AVENIDA PROFESSOR CARDOZO DE MELLO NETO;674;JARDIM SANTA TEREZIN;(011) 5672-7092;4474180.0;SP;São Paulo;2016;5
37412;49059;7270941;-23.548000000000002;-46.636;UBS INTEGRAL JD MARINGA VL TALARICO;MUANA;214;J MARINGA;1122693944;3525090.0;SP;São Paulo;2016;5
37803;49153;7302541;-23.50362;-46.59894;UBS JARDIM EDITE;RUA CHARLES COULOMB;080;CIDADE MONCOES;11-43298860;4576030.0;SP;São Paulo;2016;5
38188;50966;7889844;-23.582926;-46.4909974;SAD SAO MATEUS;AV MATEO BEI;838;SAO MATEUS;1137930947;3943000.0;SP;São Paulo;2016;5
39103;50604;7739834;-23.559060100000004;-46.415369500000004;CER II GUAIANASES;R MACABU;35;JARDIM SAO CARLOS;20169559;8411470.0;SP;São Paulo;2016;5
39164;50448;7672578;-23.54198;-46.63503;UBS SAO REMO;RUA BALTAZAR RABELO;0171;RIO PEQUENO;(11)37662217;5360170.0;SP;São Paulo;2016;5
39974;1633;2788632;-23.538439999999998;-46.70368;UBS VILA SANTA MARIA;RUA PROF DARIO RIBEIRO;670;VNC;39656035;2559000.0;SP;São Paulo;2016;5
